pub_date,opinion_type_id,opinion_type,qmt_code
3/25/2023,1,无保留,601022.SH
3/25/2023,1,无保留,001337.SZ
3/25/2023,1,无保留,688045.SH
3/25/2023,1,无保留,688373.SH
3/27/2023,1,无保留,000756.SZ
3/27/2023,1,无保留,600028.SH
3/27/2023,1,无保留,600377.SH
3/27/2023,4,拒绝/无法表示意见,600701.SH
3/27/2023,1,无保留,601601.SH
3/27/2023,1,无保留,002320.SZ
3/27/2023,1,无保留,300862.SZ
3/27/2023,1,无保留,001308.SZ
3/27/2023,1,无保留,301429.SZ
3/27/2023,1,无保留,688433.SH
3/28/2023,1,无保留,000016.SZ
3/28/2023,1,无保留,000559.SZ
3/28/2023,1,无保留,000590.SZ
3/28/2023,1,无保留,000629.SZ
3/28/2023,1,无保留,000636.SZ
3/28/2023,1,无保留,000700.SZ
3/28/2023,1,无保留,000707.SZ
3/28/2023,1,无保留,000728.SZ
3/28/2023,1,无保留,000910.SZ
3/28/2023,1,无保留,000933.SZ
3/28/2023,1,无保留,600016.SH
3/28/2023,1,无保留,600062.SH
3/28/2023,1,无保留,600066.SH
3/28/2023,1,无保留,600085.SH
3/28/2023,1,无保留,600087.SH
3/28/2023,1,无保留,600171.SH
3/28/2023,1,无保留,600178.SH
3/28/2023,1,无保留,600196.SH
3/28/2023,1,无保留,600202.SH
3/28/2023,1,无保留,600243.SH
3/28/2023,1,无保留,600266.SH
3/28/2023,1,无保留,600284.SH
3/28/2023,1,无保留,600528.SH
3/28/2023,1,无保留,600535.SH
3/28/2023,1,无保留,600546.SH
3/28/2023,1,无保留,600575.SH
3/28/2023,1,无保留,600585.SH
3/28/2023,1,无保留,600683.SH
3/28/2023,1,无保留,600748.SH
3/28/2023,7,保留带解释性说明,600748.SH
3/28/2023,6,未经审计,600748.SH
3/28/2023,1,无保留,600794.SH
3/28/2023,1,无保留,600829.SH
3/28/2023,1,无保留,600857.SH
3/28/2023,1,无保留,600866.SH
3/28/2023,1,无保留,600874.SH
3/28/2023,1,无保留,600995.SH
3/28/2023,1,无保留,002012.SZ
3/28/2023,1,无保留,002119.SZ
3/28/2023,1,无保留,002136.SZ
3/28/2023,1,无保留,002155.SZ
3/28/2023,1,无保留,002151.SZ
3/28/2023,1,无保留,002192.SZ
3/28/2023,1,无保留,002185.SZ
3/28/2023,1,无保留,300445.SZ
3/28/2023,1,无保留,601117.SH
3/28/2023,1,无保留,300009.SZ
3/28/2023,1,无保留,300037.SZ
3/28/2023,1,无保留,002398.SZ
3/28/2023,1,无保留,300235.SZ
3/28/2023,1,无保留,002451.SZ
3/28/2023,1,无保留,300401.SZ
3/28/2023,1,无保留,300138.SZ
3/28/2023,1,无保留,300172.SZ
3/28/2023,1,无保留,300224.SZ
3/28/2023,1,无保留,002611.SZ
3/28/2023,1,无保留,601865.SH
3/28/2023,1,无保留,603010.SH
3/28/2023,1,无保留,603368.SH
3/28/2023,1,无保留,300374.SZ
3/28/2023,1,无保留,300586.SZ
3/28/2023,1,无保留,603886.SH
3/28/2023,1,无保留,002765.SZ
3/28/2023,1,无保留,300446.SZ
3/28/2023,1,无保留,300553.SZ
3/28/2023,1,无保留,002839.SZ
3/28/2023,1,无保留,002807.SZ
3/28/2023,1,无保留,603336.SH
3/28/2023,1,无保留,002876.SZ
3/28/2023,1,无保留,300602.SZ
3/28/2023,1,无保留,300699.SZ
3/28/2023,1,无保留,603659.SH
3/28/2023,1,无保留,603283.SH
3/28/2023,1,无保留,002873.SZ
3/28/2023,1,无保留,601916.SH
3/28/2023,1,无保留,605368.SH
3/28/2023,1,无保留,002968.SZ
3/28/2023,1,无保留,601975.SH
3/28/2023,1,无保留,601598.SH
3/28/2023,1,无保留,688122.SH
3/28/2023,1,无保留,605099.SH
3/28/2023,1,无保留,688505.SH
3/28/2023,1,无保留,300885.SZ
3/28/2023,1,无保留,300857.SZ
3/28/2023,1,无保留,300876.SZ
3/28/2023,1,无保留,003018.SZ
3/28/2023,1,无保留,688185.SH
3/28/2023,1,无保留,688608.SH
3/28/2023,1,无保留,688669.SH
3/28/2023,1,无保留,688183.SH
3/28/2023,1,无保留,688660.SH
3/28/2023,1,无保留,301039.SZ
3/28/2023,1,无保留,301106.SZ
3/28/2023,1,无保留,603132.SH
3/28/2023,1,无保留,301357.SZ
3/28/2023,1,无保留,301387.SZ
3/28/2023,1,无保留,300904.SZ
3/28/2023,1,无保留,603255.SH
3/28/2023,1,无保留,603052.SH
3/28/2023,1,无保留,600925.SH
3/28/2023,1,无保留,603137.SH
3/28/2023,1,无保留,688581.SH
3/28/2023,1,无保留,688489.SH
3/28/2023,1,无保留,688507.SH
3/29/2023,1,无保留,000039.SZ
3/29/2023,1,无保留,000401.SZ
3/29/2023,1,无保留,000712.SZ
3/29/2023,1,无保留,000738.SZ
